category,sku,image_url,product_title,link
personal-care,118120,/medias/118120-en-US-480px-01?context=bWFzdGVyfGltYWdlc3w0MTY5N3xpbWFnZS9wbmd8aW1hZ2VzL2g2MC9oYTEvOTM1NTIyMzIzNjYzOC5wbmd8MzVmNWNlNWVkZmZlNmQyYzkxOTY2YjY3NzRjZmQxOTQ0MmQ5OGIxYzExZTFlMWQ4ZWVlNjFlODI2OTE3ODMzYg,G&H Protect+ Deodorant & Anti-Perspirant Roll-on,https://amway.com/share-link/PM0cCCc7l
home,100188,/medias/100188-en-US-480px-01?context=bWFzdGVyfGltYWdlc3wzMzAxMnxpbWFnZS9wbmd8aW1hZ2VzL2g0My9oNDYvOTM1NTE4MjExMjc5OC5wbmd8YjRjODgwMDE3ZDJjYmNmZTEzYTA0Y2M2Nzg2MDIzMTc3YzA4ZDc1OWNhNjgzYmZmYzgxMmNhNjQwMDU5YWIwYw,eSpring UV Water Purifier Above Counter Model,https://amway.com/share-link/J6ESHQS6X
personal-care,116510,/medias/116510-en-US-480px-01?context=bWFzdGVyfGltYWdlc3wzMDA5N3xpbWFnZS9wbmd8aW1hZ2VzL2hhNy9oMTgvOTM1NTIwMzQ3NzUzNC5wbmd8MzkxOWM5NDlkNTczZmI5MmM0ZjE1ZDUxNTAxNmMwOTNhM2RiMDdjM2Y3NzdhM2Q5Yzc5MGZlYTNhZWI3NWQxMg,Satinique 2 in 1 Shampoo and Conditioner,https://amway.com/share-link/mdfr5PMK1
personal-care,120467,/medias/120467-en-US-480px-01?context=bWFzdGVyfGltYWdlc3wyMjA3MHxpbWFnZS9wbmd8aW1hZ2VzL2g2ZC9oYzcvOTM1NTI0MzU1Mjc5OC5wbmd8Yjg5NmYyZDY4MTFhYmU0NDdjNTkxMmI5NDk4ZGMzZmNlMjhjNjVjNmQ0Y2Q3NWMyN2IzYmM0M2U0MGQyZjI4Nw,Satinique Hair Oil Serum,https://amway.com/share-link/DoeXN6Pqm
personal-care,110659,/medias/110659-en-US-480px-01?context=bWFzdGVyfGltYWdlc3wyOTU0MnxpbWFnZS9wbmd8aW1hZ2VzL2g3ZC9oZmEvOTM1NTE5NDg5MjMxOC5wbmd8OWVhZTU2Yzc4OWY3ZGFlYjRiYmRlODg0ZjkxYjE4MjUyYmFlZTBjMTFhYmUxZGZhYzk0ZmNjMGUwZjEyYjlmZQ,Satinique Anti–Hairfall Shampoo,https://amway.com/share-link/fQJWaLd5g
personal-care,298153,/medias/298153-en-US-480px-01?context=bWFzdGVyfGltYWdlc3w0NDA0N3xpbWFnZS9wbmd8aW1hZ2VzL2g2ZC9oMzMvOTM1NTM0NzUyNTY2Mi5wbmd8OWZhN2VjMmNhMDVlYTU0NTcwODU1YzU4ZmYzMDY1ZDhkZGE0NTgzZTEyZWNiMGQzMGQ1NDA4N2Q1ZGI1MTg2MQ,G&H Protect+ Long Lasting Deodorant,https://amway.com/share-link/JgDf5YI8r
personal-care,110686,/medias/110686-en-US-480px-01?context=bWFzdGVyfGltYWdlc3wyODc1N3xpbWFnZS9wbmd8aW1hZ2VzL2hmYy9oZTgvOTM1NTE4MTMyNjM2Ni5wbmd8OTc0MzJkNjcxZGI2ZTljZGE4NDhiMDQ1YjVjNzU0MzY2ZjVjOGFiMjZmMmE4YWEwNzMwMDNlZGFhOThkNGU0OQ,Satinique Scalp Tonic,https://amway.com/share-link/m7h5iwfS8
personal-care,110656,/medias/110656-en-US-480px-01?context=bWFzdGVyfGltYWdlc3wyNjUxMnxpbWFnZS9wbmd8aW1hZ2VzL2hjYi9oNzYvOTM1NTE5NjU5NjI1NC5wbmd8YjY3ZTdiZjU1YmU1NWQ4N2RiNmY1MmUxN2E2NjQwZGFlNDUyMWJkODA5N2VlMGY4ZmI5ZmQ4NmM4YTUxNTdhYQ,Satinique Smooth Moisture Shampoo,https://amway.com/share-link/1uNWBltqs
personal-care,124113,/medias/100957C-en-US-480px-01?context=bWFzdGVyfHJvb3R8MTA5MzN8aW1hZ2UvcG5nfGhiOC9oMjEvOTM1NTAwOTg4NDE5MC5wbmd8OGViNGEyM2U2Y2U0NjBlOWNiZDdhYjM3YmU2MWE1NGIyMzcxMDM4MDE2MGY3NTZhM2YyYTU4ZWJmMzI3MjYzZQ,Glister Multi-Action Mouthwash,https://amway.com/share-link/fnNhYyFf4
personal-care,110670,/medias/110670-en-US-480px-01?context=bWFzdGVyfGltYWdlc3wyNzE3MXxpbWFnZS9wbmd8aW1hZ2VzL2hlOC9oMTYvOTM1NTAxMDgwMTY5NC5wbmd8MjQ2YWU3MjU3ZTg2MzZjYTMyNTFiNTJiNDIyOTEzOTg5MmY1OTdlOTRhODZiZDY1ZWFmMzY3NThjZjU5NDEwNQ,Satinique Anti–Dandruff Shampoo,https://amway.com/share-link/b6h7uQNDf
personal-care,116823,/medias/116823-en-US-480px-01?context=bWFzdGVyfGltYWdlc3wyNjc5NHxpbWFnZS9wbmd8aW1hZ2VzL2g1OC9oYjkvOTM1NTIxMzcwMTE1MC5wbmd8MGM2MTA0ZjQzYjY4MjlhNmJjNzg3MTNiMjE0ZWMwYWY0YWE2NzMyNDRlOTUwMjUyNGQ5Mzc1NzZlZGQ5NjAwNA,Satinique Anti–Hairfall Conditioner,https://amway.com/share-link/Nv6kgxfNU
personal-care,123859V,/medias/123859V-en-US-480px-01?context=bWFzdGVyfGltYWdlc3wzNTM4NXxpbWFnZS9qcGVnfGltYWdlcy9oNjEvaGZmLzg5MjA4Mzc1NTQyMDYuanBnfDFhMTQ5ZDcyMWYzOWMyODQwMjFlYzRiNzY5MTM4MzI0OTIzNTU4NGU1ZjgwNmQ0OGMwOGFlN2U3NTVkZTc0NDY,Artistry Signature Select Purifying Body Cleanser,https://amway.com/share-link/GulzSo6s2
